Product Id (Don't Modify),Product Name,Added on (D-dd/mm/YY HH:MM:SS),Barcode (applicable only if variable combinations not used),Product Id,Model,Short Description,Product Keywords (will be used while searching for products in website),Is Hidden? (Y/N),Cost Price,Web Price,Weight,Reorder Quantity,Extra Shipping Cost,Bonus Points,"Discount Type ('%' for %,'Value' for Discount Value,'Exact' for Exact Discount Price)",Discount (value in this field depends on the Discount Type),Apply Tax? (Y/N),Variable Stock Allowed? (Y/N) (Dont't Modify),Fixed Web Stock (applicable only if Variable Stock Allowed is 'N'),Preorder Allowed? (Y/N),Maximum number of times preorder will be allowed? (applicable only if Preorder is Y),In Stock Date (applicable only if preorder is Y)  (D-dd/mm/YY),Product Deposit %,Product deposit message (will be considered only if Product deposit is >0),Activate Buy link (Y/N),Activate Enquire link (Y/N),Heading to be shown for size chart (applicable only if size chart is managed),Show Variable in new row in product details page? (Y / N),Allow Stock Notification?,Hide Product when out of stock?,Allow ordering even if out of stock (Y/N)?,Allow free Delivery? (Y/N),Caption to be displayed for Qty,"Qty type (Normal,Dropdown)","Value to be displayed in dropdown box. Seperate using comma (,) (applicable only if qty type is Dropdown",Prefix to be used for Qty (applicable only if Qty type is Drop down box),Suffix to be used for Qty (applicable only if Qty type is Drop down box),Prefix for Normal price,Suffix for Normal price,Prefix for From price,Suffix for From price,Prefix for Special offer price,Suffix for Special offer price,Prefix for Discount,Suffix for Discount,Prefix for You Save Price,Suffix for You Save Price,Caption for No Price,Show Price Promise button in details page? (Y/N),Show Sale Icon (Y/N),Caption for sale icon (applicable only if Sale icon is Y),Show New Icon (Y/N),Caption for new icon (applicable only if New icon is Y),Variable Combination Image Allowed (Don't Modify),Unique Ids of Images from Image gallery. Seperate Id's using '=>' (applicable only if Variable Combination Image is 'N'. Already assigned Images which are not specified in this column will be unassigned automatically before saving the current id's,Variable Combination Price Allowed (Don't Modify),Allow Bulk Discount (Y/N),"Format (Qty1=>Price1,Qty2=>Price2) (applicable only if Variable combination price allowed is 'N')"
P-67579,Kenco Singles Cadbury Hot Chocolate,D-06/04/2009 08:05:37,5060181190701,Kenco,,Kenco Singles Cadbury Hot Chocolate,"kenco singles hot chocolate
Cadbury hot chocolate
kenco singles cups
kenco capsules
Chocolate
Cadburys",N,0.00,32.40,0.00,0,0.00,32,%,0.00,N,N,2147480357,N,0,D-00/00/0000,0.00,,Y,N,,N,Y,N,N,N,Buy More & Save...,Normal,,,,,,,,,,,,,,Call For Pricing - 0800 865 4444,Y,N,,Y,,N,318779,N,Y,"3=>32.15,5=>31.90,10=>31.40,20=>30.90"
P-70403,Kenco Singles Cappio Cappuccino,D-06/04/2009 08:05:41,5060181190692,Kenco,,Kenco Singles Capsules - Cappio Singles Capsules,"kenco singles cappio cappuccino
cappuccino
kenco singles cups
kenco capsules
kenco",N,0.00,33.40,0.00,0,0.00,33,%,0.00,N,N,2147479742,N,0,D-00/00/0000,0.00,,Y,N,,N,Y,N,N,N,Buy More & Save...,Normal,,,,,,,,,,,,,,Call For Pricing - 0800 865 4444,Y,N,,N,,N,105312,N,Y,"3=>33.15,5=>32.90,10=>32.40,20=>31.90"
P-74723,Kenco Singles Capsule Cups,D-06/04/2009 08:05:28,,,,Kenco Singles Capsule Cups,"kenco singles
kenco coffee
kenco coffee cups
kenco capsules
Kenco Singles Cups
7oz cup
kenco 7oz
singles cups
red cups
red singles cups
kenco red cups
red kenco cups",N,0.00,36.99,0.00,0,0.00,37,%,0.00,Y,N,4995,N,0,D-00/00/0000,0.00,,Y,N,,N,Y,N,N,N,Buy More & Save...,Normal,,,,,,,,,,,,,,Call For Pricing - 0800 865 4444,Y,N,,N,,N,321103,N,Y,"5=>36.00,10=>35.00"
P-535022,Kenco Singles Carte Noir Decaf,D-27/02/2014 13:53:27,,Kenco,,Kenco Singles Carte Noir Decaf,"Kenco singles Carte Noir Decaf
Carte Noir
Kenco singles
Decaf",N,0.00,30.60,0.00,0,0.00,31,Exact,0.00,N,N,979,N,0,D-00/00/0000,0.00,,Y,N,,N,Y,N,N,N,Buy more and save...,Normal,,,,,,,,,,,,,,Call For Pricing - 0800 865 4444,Y,N,,N,,N,317395,N,Y,"3=>30.35,5=>30.10,10=>29.60,20=>29.10"
P-70402,Kenco Singles Carte Noire,D-06/04/2009 08:05:41,5060181190695,Kenco,,Kenco Singles Carte Noire,"kenco carte noire
kenco coffee 
kenco singles
kenco coffee capsules
Kenco Singles Carte Noire",N,0.00,30.40,0.00,0,0.00,30,Exact,0.00,N,N,938,N,0,D-00/00/0000,0.00,,Y,N,,N,Y,N,N,N,Buy More & Save...,Normal,,,,,,,,,,,,,,Call For Pricing - 0800 865 4444,Y,N,,N,,N,105313,N,Y,"3=>30.15,5=>29.90,10=>29.40,20=>28.90"
P-67574,Kenco Singles Colombian,D-06/04/2009 08:05:38,5060181190694,Kenco,,Kenco Singles Colombian,"kenco singles colombian
kenco capsules
kenco singles
kenco coffee
coffee suppliers
wholesale coffee suppliers
buy coffee
kenco coffee beans",Y,0.00,30.20,0.00,0,0.00,30,%,0.00,N,N,0,N,0,D-00/00/0000,0.00,,Y,N,,N,Y,N,N,N,Buy More & Save...,Normal,,,,,,,,,,,,,,Call For Pricing - 0800 865 4444,Y,N,,N,,N,105314,N,Y,"3=>29.95,5=>29.70,10=>29.20,20=>28.70"
P-328906,Kenco Singles Cups,D-06/04/2009 08:05:40,5060181190702,Kenco,,Kenco Singles Cups,"kenco singles 
kenco coffee
kenco capsules
coffee capsules
wholesale coffee
coffee suppliers",Y,0.00,4.95,0.00,0,0.00,5,%,0.00,N,Y,0,N,0,D-00/00/0000,0.00,,Y,N,,N,Y,N,N,N,,Normal,,,,,,,,,,,,,,Call For Pricing - 0800 865 4444,Y,N,,N,,N,321103,N,N,
P-67572,Kenco Singles Dark Roast,D-06/04/2009 08:05:38,5060181190696,Kenco,,Kenco Singles Dark Roast,"kenco dark roast
kenco singles
kenco coffee
kenco cups
kenco
Kenco Singles Dark Roast",N,0.00,30.99,0.00,0,0.00,31,%,0.00,N,N,951,N,0,D-00/00/0000,0.00,,Y,N,,N,Y,N,N,N,Buy More & Save...,Normal,,,,,,,,,,,,,,Call For Pricing - 0800 865 4444,Y,N,,N,,N,105315,N,Y,"3=>30.74,5=>30.49,10=>29.99,20=>29.49"
P-70404,Kenco Singles Decaffeinated Coffee,D-06/04/2009 08:05:41,5060181190697,Kenco,,Kenco Singles Decaffeinated Coffee,"kenco singles decaffienated coffee
kenco decaffienated coffee
kenco coffee
kenco coffee beans
kenco capsules
coffee supplier",Y,0.00,30.60,0.00,0,0.00,31,Exact,0.00,N,N,0,N,0,D-00/00/0000,0.00,,Y,N,,N,Y,N,N,N,Buy More & Save...,Normal,,,,,,,,,,,,,,Call For Pricing - 0800 865 4444,Y,N,,N,,N,105316,N,Y,"3=>30.35,5=>30.10,10=>29.60,20=>29.10"
P-67578,Kenco Singles Earl Grey Tea,D-06/04/2009 08:05:37,5060181190698,Kenco,,Kenco Singles Earl Grey Tea,"kenco singles
kenco capsules
kenco tea
kenco cups
Kenco Singles Earl Grey Tea",N,0.00,24.40,0.00,0,0.00,24,%,0.00,N,N,990,N,0,D-00/00/0000,0.00,,Y,N,,N,Y,N,N,N,Buy More & Save...,Normal,,,,,,,,,,,,,,Call For Pricing - 0800 865 4444,Y,N,,N,,N,105317,N,Y,"3=>24.15,5=>23.90,10=>23.40,20=>22.90"
P-67576,Kenco Singles Espresso Coffee,D-06/04/2009 08:05:38,5060181190699,Kenco,,Kenco Singles Capsules - 160 Kenco Singles Espresso Capsules,"kenco singles coffee
kenco espresso coffee
kenco singles espresso coffee
kenco coffee
kenco cups
kenco capsules
kenco espresso capsules
kenco coffee beans
kenco beans",Y,0.00,29.00,0.00,0,0.00,29,%,0.00,N,N,0,N,0,D-00/00/0000,0.00,,Y,N,,N,Y,N,N,N,Buy More & Save...,Normal,,,,,,,,,,,,,,Call For Pricing - 0800 865 4444,Y,N,,N,,N,105319,N,Y,"3=>28.75,5=>28.50,10=>28.00,20=>27.50"
P-421681,Kenco Singles In Smaller Packs,D-06/04/2009 08:05:49,5060181190691,Kenco,,Kenco Singles In Smaller Packs,"kenco singles capsules
kenco singles
kenco capsules
kenco coffee
kenco beans
kenco cups
kenco medium roast
Kenco Singles in Smaller Packs",N,0.00,3.79,0.00,0,0.00,4,%,0.00,N,Y,0,N,0,D-00/00/0000,0.00,,Y,N,,N,Y,N,N,N,,Normal,,,,,,,,,,,,,,Call For Pricing - 0800 865 4444,Y,N,,N,,N,186643,N,N,
P-67570,Kenco Singles Light Roast,D-06/04/2009 08:05:38,5060181190691,Kenco,,Kenco Singles Capsules - 160 Light Roast Capsules,"kenco light roast coffee
kenco singles
kenco capsules
kenco coffee
kenco beans
kenco singles light roast coffee
kenco capsules light roast",Y,0.00,27.80,0.00,0,0.00,28,%,0.00,N,N,0,N,0,D-00/00/0000,0.00,,Y,N,,N,Y,N,N,N,Buy More & Save...,Normal,,,,,,,,,,,,,,Call For Pricing - 0800 865 4444,Y,N,,N,,N,105321,N,Y,"3=>27.55,5=>27.30,10=>26.80,20=>26.30"
P-67571,Kenco Singles Medium Roast Coffee,D-06/04/2009 08:05:38,5060181190691,Kenco,,Kenco Singles Medium Roast Coffee,"kenco singles medium roast
kenco capsules medium roast
kenco medium roast
kenco coffee
kenco beans
kenco singles
kenco capsules",N,0.00,29.80,0.00,0,0.00,30,%,0.00,N,N,20,N,0,D-00/00/0000,0.00,,Y,N,,N,Y,N,N,N,Buy More & Save...,Normal,,,,,,,,,,,,,,Call For Pricing - 0800 865 4444,Y,N,,N,,N,105322,N,Y,"3=>29.55,5=>29.30,10=>28.80,20=>28.30"
P-183522,Kenco Singles Pedestal Base Cabinet,D-06/04/2009 08:05:46,5060181190706,Kenco,,Kenco Singles Pedestal Base Cabinet,Kenco Singles Pedestal Base Cabinet,Y,0.00,421.99,0.00,0,0.00,400,%,0.00,Y,Y,0,N,0,D-00/00/0000,0.00,,Y,N,,N,Y,N,N,N,Buy More & Save...,Normal,,,,,,,,,,,,,,Call For Pricing - 0800 865 4444,Y,N,,N,,N,81557,N,Y,"3=>399.99,5=>388.99,10=>378.99"
P-67715,Kenco Singles Peppermint Tea,D-06/04/2009 08:05:41,5060181190705,Kenco,,Kenco Singles Capsules - 160 Peppermint Singles Capsules,"kenco peppermint tea
kenco singles peppermint tea
kenco capsules peppermint tea
kenco singles
kenco capsules
kenco coffee
kenco beans
kenco coffee suppliers",Y,0.00,29.70,0.00,0,0.00,30,%,0.00,N,N,0,N,0,D-00/00/0000,0.00,,Y,N,,N,Y,N,N,N,Buy More & Save...,Normal,,,,,,,,,,,,,,Call For Pricing - 0800 865 4444,Y,N,,N,,N,105323,N,Y,"3=>29.45,5=>29.20,10=>28.70,20=>28.20"
P-67580,Kenco Singles PG Tips Tea,D-06/04/2009 08:05:37,5060181190700,Kenco,,Kenco Singles PG Tips Tea,"kenco pg tips
kenco pg tips capsules
kenco singles pg tips
kenco capsules
Kenco Singles PG Tips Tea
kenco singles
Kenco Singles PG Tips Tea
kenco coffee beans
kenco roasted beans
kenco roasted coffee
kenco cups",N,0.00,23.70,0.00,0,0.00,24,%,0.00,N,N,816,N,0,D-00/00/0000,0.00,,Y,N,,N,Y,N,N,N,Buy More & Save...,Normal,,,,,,,,,,,,,,Call For Pricing - 0800 865 4444,Y,N,,N,,N,105326,N,Y,"3=>23.45,5=>23.20,10=>22.70,20=>22.20"
P-534959,Kenco Smooth Roast Coffee Sticks (200),D-22/02/2014 04:46:54,,,,Freeze Dried Decaffeinated Instant Coffee Sticks,"Kenco sticks
coffee Sticks
Kenco coffee
Smooth Roast
Kenco Smooth Roast Coffee Sticks (200)",N,0.00,19.56,0.00,0,0.00,20,%,0.00,N,N,991,N,0,D-00/00/0000,0.00,,Y,N,,N,Y,N,N,N,,Normal,,,,,,,,,,,,,,,N,N,,N,,N,317008,N,N,
P-536804,Kenco Sustainable Coffee Beans 1Kg,D-16/09/2014 14:31:31,,,Kenco 1 Kilo,Kenco Sustainable Coffee Beans,"Kenco Sustainable Coffee Beans
coffee beans
kenco coffee beans
sustainable coffee beans
kenco
kenco coffee
roasted coffee beans",N,0.00,12.49,0.00,0,0.00,12,%,0.00,N,N,1000,N,0,D-00/00/0000,0.00,,Y,N,,N,N,N,N,N,,Normal,,,,,,,,,,,,,,,N,N,,N,,N,269871,N,N,
P-494260,Kenco Sustainable Coffee Beans 8Kg,D-18/10/2010 20:26:05,5060181190702,Kenco 8Kg,,Kenco Sustainable Coffee Beans,"kenco coffee beans
kenco coffee
kenco beans
Kenco Sustainable Coffee Beans",N,0.00,80.50,6.00,0,0.00,81,%,0.00,N,N,992,N,0,D-00/00/0000,0.00,,Y,N,,N,Y,N,N,N,Buy More & Save...,Normal,,,,,,,,,,,,,,Call For Pricing - 0800 865 4444,Y,N,,N,Rainforest Alliance Kenco Sustainable Beans - New 8x1kg Kilo Pack Size,N,269871,N,Y,"3=>77.00,5=>73.50,10=>70.50"
P-449466,Kenco Vending Coffee - Decaffeinated,D-06/04/2009 08:06:00,,Kenco,,Kenco Vending Coffee - Decaffeinated,"Kenco vending coffee
vending coffee
Decaffeinated vending coffee
decaf coffee
Kenco Vending Coffee - Decaffeinated",N,0.00,68.99,0.00,0,0.00,69,%,0.00,N,N,1000,N,0,D-00/00/0000,0.00,,Y,N,,N,Y,N,N,N,,Normal,,,,,,,,,,,,,,Call For Pricing - 0800 865 4444,Y,N,,N,,N,214675,N,N,
P-428773,Kenco Vending Coffee - Really Rich,D-06/04/2009 08:06:03,,Kenco,,Kenco Vending Coffee - Really Rich,"Kenco vending coffee
vending coffee
Decaffeinated vending coffee
decaf coffee
Kenco Really Rich
Kenco Vending Coffee - Really Rich",N,0.00,59.99,0.00,0,0.00,60,%,0.00,N,N,986,N,0,D-00/00/0000,0.00,,Y,N,,N,Y,N,N,N,,Normal,,,,,,,,,,,,,,Call For Pricing - 0800 865 4444,Y,N,,N,,N,212965,N,N,
P-428772,Kenco Vending Coffee - Really Smooth,D-06/04/2009 08:06:03,,Kenco,,Kenco Vending Coffee - Really Smooth,"Kenco vending coffee
vending coffee
Decaffeinated vending coffee
decaf coffee
Kenco Really Smooth
Kenco Vending Coffee - Really Smooth",N,0.00,59.99,0.00,0,0.00,60,%,0.00,N,N,953,N,0,D-00/00/0000,0.00,,Y,N,,N,Y,N,N,N,,Normal,,,,,,,,,,,,,,Call For Pricing - 0800 865 4444,Y,N,,N,,N,212966,N,N,
P-535445,Kenco Westminster Filter Coffee,D-14/04/2014 16:26:28,,Kenco,,Kenco Westminster Filter Coffee,"Kenco Westminster Filter Coffee
Medium Roast Coffee
Kenco coffee
filter coffee
westminister filter coffee
westminister coffee
kenco filter coffee",N,0.00,3.22,0.00,0,0.00,3,%,0.00,N,N,1000,N,0,D-00/00/0000,0.00,,Y,N,,N,N,N,N,N,,Normal,,,,,,,,,,,,,,,N,N,,N,New from Kenco - Westminster Bulk Brew Medium Roast Filter Coffee,N,317936,N,N,
P-537255,Kenco White Sugar Sticks,D-08/11/2014 19:25:54,,,,Kenco White Sugar Sticks,"Kenco White Sugar Stick

Kenco branded Sugar sticks which come in hand individual portions. 500 sticks per box.",N,0.00,9.99,0.00,0,0.00,0,Exact,8.99,N,N,94,N,0,D-00/00/0000,0.00,,Y,N,,N,N,N,N,N,,Normal,,,,,,,,,,,,,,,N,N,,N,,N,107949,N,N,
P-536620,KLIX Black Cupholders,D-21/08/2014 15:45:53,,,,KLIX Black Cupholders,"KLIX Black Cupholders
CUP HOLDERS
KLIX
KLIX Outlook
KLIX Cup holders",N,0.00,13.39,0.00,0,0.00,13,%,0.00,Y,N,99999,N,0,D-00/00/0000,0.00,,Y,N,,N,N,N,N,N,,Normal,,,,,,,,,,,,,,,N,N,,N,,N,320799,N,N,
P-536619,Klix Blue Chilled Water Cups,D-21/08/2014 15:43:51,,,,Klix Blue Chilled Water Cups,"Blue Chilled Water Cups
WATER CUPS
BLUE WATER CUPS
BLUE CUPS
CHILLED WATER CUPS
KLIX
KLIX Outlook",N,0.00,57.68,0.00,0,0.00,58,%,0.00,Y,N,99999,N,0,D-00/00/0000,0.00,,Y,N,,N,N,N,N,N,,Normal,,,,,,,,,,,,,,,N,N,,N,,N,320797,N,N,
P-536599,Klix Chocamento,D-21/08/2014 12:30:51,,,,Klix Chocamento,"Chocamento
chocolate drink
KLIX
KLIX Outlook",N,0.00,90.64,0.00,0,0.00,90,%,0.00,N,N,99999,N,0,D-00/00/0000,0.00,,Y,N,,N,N,N,N,N,,Normal,,,,,,,,,,,,,,,N,N,,N,,N,320728,N,N,
P-536621,KLIX Cup Lids,D-21/08/2014 15:50:35,,,,KLIX Cup Lids,"KLIX Cup Lids
CUP LIDS
KLIX
KLIX Outlook",N,0.00,15.45,0.00,0,0.00,15,%,0.00,Y,N,99999,N,0,D-00/00/0000,0.00,,Y,N,,N,N,N,N,N,,Normal,,,,,,,,,,,,,,,N,N,,N,,N,320800,N,N,
P-536622,KLIX Cup Trays,D-21/08/2014 15:52:20,,,,KLIX Cup Trays,"KLIX Cup Trays
CUP TRAYS
KLIX
KLIX Outlook",N,0.00,5.56,0.00,0,0.00,5,%,0.00,Y,N,99999,N,0,D-00/00/0000,0.00,,Y,N,,N,N,N,N,N,,Normal,,,,,,,,,,,,,,,N,N,,N,,N,320801,N,N,
P-536600,Klix Galaxy Light Style,D-21/08/2014 12:36:13,,,,Klix Galaxy Light Style,"Galaxy Light Style
KLIX
KLIX Outlook",Y,0.00,96.56,0.00,0,0.00,96,%,0.00,N,N,99999,N,0,D-00/00/0000,0.00,,Y,N,,N,N,N,N,N,,Normal,,,,,,,,,,,,,,,N,N,,N,,N,320729,N,N,
P-536583,Klix Kenco Smooth Coffee Black,D-21/08/2014 11:08:35,,,,Klix Kenco Smooth Coffee Black,"kenco smooth black
KLIX
KLIX Outlook",N,0.00,73.39,0.00,0,0.00,73,%,0.00,N,N,99999,N,0,D-00/00/0000,0.00,,Y,N,,N,N,N,N,N,,Normal,,,,,,,,,,,,,,,N,N,,N,,N,320742,N,N,
P-536582,Klix Kenco Smooth Coffee Black/Sugar,D-21/08/2014 11:04:47,,,,Klix Kenco Smooth Coffee Black/Sugar,"Kenco smooth black/sugar
Kenco coffee 
Instant coffee
KLIX
KLIX Outlook",N,0.00,73.39,0.00,0,0.00,73,%,0.00,N,N,99999,N,0,D-00/00/0000,0.00,,Y,N,,N,N,N,N,N,,Normal,,,,,,,,,,,,,,,N,N,,N,,N,320743,N,N,
P-536581,Klix Kenco Smooth Coffee White,D-21/08/2014 10:58:38,,,,Klix Kenco Smooth Coffee White,"Kenco Smooth white
Kenco
Kenco coffee
Instant coffee
Vending coffee
KLIX
KLIX Outlook",N,0.00,97.85,0.00,0,0.00,97,%,0.00,N,N,99999,N,0,D-00/00/0000,0.00,,Y,N,,N,N,N,N,N,,Normal,,,,,,,,,,,,,,,N,N,,N,,N,320745,N,N,
P-536580,Klix Kenco Smooth Coffee White/Sugar,D-21/08/2014 10:29:38,,,,Klix Kenco Smooth Coffee White/Sugar,"Kenco
Kenco smooth
smooth coffee
kenco coffee
kenco vending 
instant coffee
KLIX
KLIX Outlook",N,0.00,97.85,0.00,0,0.00,97,%,0.00,N,N,99999,N,0,D-00/00/0000,0.00,,Y,N,,N,N,N,N,N,,Normal,,,,,,,,,,,,,,,N,N,,N,,N,320744,N,N,
P-536603,Klix Knorr Tomato Soup,D-21/08/2014 12:46:03,,,,Klix Knorr Tomato Soup,"Knorr Tomato Soup
KLIX
KLIX Outlook",N,0.00,98.88,0.00,0,0.00,98,%,0.00,N,N,99999,N,0,D-00/00/0000,0.00,,Y,N,,N,N,N,N,N,,Normal,,,,,,,,,,,,,,,N,N,,N,,N,320731,N,N,
P-536601,Klix Knorr Vegetable Soup with Croutons,D-21/08/2014 12:41:46,,,,Klix Knorr Vegetable Soup with Croutons,"Knorr Vegetable Soup with Croutons
KLIX
KLIX Outlook",N,0.00,98.88,0.00,0,0.00,98,%,0.00,N,N,99999,N,0,D-00/00/0000,0.00,,Y,N,,N,N,N,N,N,,Normal,,,,,,,,,,,,,,,N,N,,N,,N,320730,N,N,
P-536611,Klix Lemon & Lime Flavoured Water,D-21/08/2014 14:21:20,,,,Lemon & Lime Flavoured Water,"Lemon & Lime Flavoured Water
flavoured water
KLIX
KLIX Outlook",N,0.00,69.53,0.00,0,0.00,69,%,0.00,Y,N,99999,N,0,D-00/00/0000,0.00,,Y,N,,N,N,N,N,N,,Normal,,,,,,,,,,,,,,,N,N,,N,,N,320734,N,N,
P-536595,Klix Lipton Lemon Tea,D-21/08/2014 11:57:42,,,,Klix Lipton Lemon Tea,"Lipton Lemon Tea
KLIX
KLIX Outlook",N,0.00,73.39,0.00,0,0.00,73,%,0.00,N,N,99999,N,0,D-00/00/0000,0.00,,Y,N,,N,N,N,N,N,,Normal,,,,,,,,,,,,,,,N,N,,N,,N,320724,N,N,
P-536596,Klix Maxwell House Cappuccino,D-21/08/2014 12:08:50,,,,Klix Maxwell House Cappuccino,"Maxwell House Cappuccino
KLIX
KLIX Outlook",N,0.00,119.48,0.00,0,0.00,119,%,0.00,N,N,99999,N,0,D-00/00/0000,0.00,,Y,N,,N,N,N,N,N,,Normal,,,,,,,,,,,,,,,N,N,,N,,N,320725,N,N,
P-536597,Klix Maxwell House Vanilla Latte,D-21/08/2014 12:15:00,,,,Klix Maxwell House Vanilla Latte,"Maxwell House Vanilla Latte
KLIX
KLIX Outlook",N,0.00,119.48,0.00,0,0.00,119,%,0.00,N,N,99999,N,0,D-00/00/0000,0.00,,Y,N,,N,N,N,N,N,,Normal,,,,,,,,,,,,,,,N,N,,N,,N,320726,N,N,
P-536598,Klix Mocha,D-21/08/2014 12:21:54,,,,Klix Mocha,"Mocha
KLIX
KLIX Outlook",N,0.00,119.48,0.00,0,0.00,119,%,0.00,N,N,99999,N,0,D-00/00/0000,0.00,,Y,N,,N,N,N,N,N,,Normal,,,,,,,,,,,,,,,N,N,,N,,N,320882,N,N,
P-536585,Klix Nescafe Decaffeinated Coffee White,D-21/08/2014 11:21:16,,,,Klix Nescafe Decaffeinated Coffee White,"Nescafé Decaffeinated Coffee White
KLIX
KLIX Outlook",N,0.00,108.15,0.00,0,0.00,108,%,0.00,N,N,99999,N,0,D-00/00/0000,0.00,,Y,N,,N,N,N,N,N,,Normal,,,,,,,,,,,,,,,N,N,,N,,N,320746,N,N,
P-536584,Klix Nescafe Decaffeinated Coffee White/Sugar,D-21/08/2014 11:13:47,,,,Klix Nescafe Decaffeinated Coffee White/Sugar,"Nescafé Decaffeinated Coffee White/Sugar
KLIX
KLIX Outlook",N,0.00,108.15,0.00,0,0.00,108,%,0.00,N,N,99999,N,0,D-00/00/0000,0.00,,Y,N,,N,N,N,N,N,,Normal,,,,,,,,,,,,,,,N,N,,N,,N,320747,N,N,
P-536723,KLIX Outlook,D-09/09/2014 12:22:59,,,,KLIX Outlook,"KLIX Outlook
vending machine
hot drinks machine
klix machine
outlook machine
outlook vending",N,0.00,0.00,0.00,0,0.00,0,%,0.00,N,N,99999,N,0,D-00/00/0000,0.00,,N,Y,,N,N,N,N,N,,Normal,,,,,,,,,,,,,,,N,N,,N,,N,320720,N,N,
P-536618,KLIX Outlook White Water Cups,D-21/08/2014 15:41:06,,,,KLIX Outlook White Water Cups,"WATER CUPS
OUTLOOK WATER CUPS
OUTLOOK CUPS
KLIX
KLIX Outlook",N,0.00,55.62,0.00,0,0.00,55,%,0.00,Y,N,99999,N,0,D-00/00/0000,0.00,,Y,Y,,N,N,N,N,N,,Normal,,,,,,,,,,,,,,,N,N,,N,,N,320798,N,N,
P-536589,Klix PG Tips Fresh Leaf Tea Bag Tea Black,D-21/08/2014 11:40:21,,,,Klix PG Tips Fresh Leaf Tea Bag Tea Black,"PG Tips Fresh Leaf Tea Bag Tea Black
KLIX
KLIX Outlook",N,0.00,92.70,0.00,0,0.00,92,%,0.00,N,N,99999,N,0,D-00/00/0000,0.00,,Y,N,,N,N,N,N,N,,Normal,,,,,,,,,,,,,,,N,N,,N,,N,320751,N,N,
P-536587,Klix PG Tips Fresh Leaf Tea Bag Tea White,D-21/08/2014 11:36:04,,,,Klix PG Tips Fresh Leaf Tea Bag Tea White,"PG Tips Fresh Leaf Tea Bag Tea White
KLIX
KLIX Outlook",N,0.00,92.70,0.00,0,0.00,92,%,0.00,N,N,99999,N,0,D-00/00/0000,0.00,,Y,N,,N,N,N,N,N,,Normal,,,,,,,,,,,,,,,N,N,,N,,N,320754,N,N,
P-536586,Klix PG Tips Fresh Leaf Tea Bag Tea White/Sugar,D-21/08/2014 11:30:51,,,,Klix PG Tips Fresh Leaf Tea Bag Tea White/Sugar,"PG Tips Fresh Leaf Tea Bag Tea White/Sugar
Tea
PG Tips
KLIX
KLIX Outlook",N,0.00,92.70,0.00,0,0.00,92,%,0.00,N,N,99999,N,0,D-00/00/0000,0.00,,Y,N,,N,N,N,N,N,,Normal,,,,,,,,,,,,,,,N,N,,N,,N,320750,N,N,
P-536593,Klix PG Tips Instant Tea White,D-21/08/2014 11:52:40,,,,Klix PG Tips Instant Tea White,"PG Tips Instant Tea White
KLIX
KLIX Outlook",N,0.00,73.39,0.00,0,0.00,73,%,0.00,N,N,99999,N,0,D-00/00/0000,0.00,,Y,N,,N,N,N,N,N,,Normal,,,,,,,,,,,,,,,N,N,,N,,N,320752,N,N,
P-536591,Klix PG Tips Instant Tea White/Sugar,D-21/08/2014 11:49:37,,,,Klix PG Tips Instant Tea White/Sugar,"PG Tips Instant Tea White/Sugar
KLIX
KLIX Outlook",N,0.00,73.39,0.00,0,0.00,73,%,0.00,N,N,99999,N,0,D-00/00/0000,0.00,,Y,N,,N,N,N,N,N,375,Normal,,,,,,,,,,,,,,,N,N,,N,,N,320753,N,N,
P-536609,Klix Starburst Orange,D-21/08/2014 14:02:58,,,,Klix Starburst Orange,"Starburst Orange
orange juice
orange drink
KLIX
KLIX Outlook",N,0.00,73.39,0.00,0,0.00,73,%,0.00,Y,N,99999,N,0,D-00/00/0000,0.00,,Y,N,,N,N,N,N,N,,Normal,,,,,,,,,,,,,,,N,N,,N,,N,320732,N,N,
P-536610,Klix Starburst Tropical,D-21/08/2014 14:15:33,,,,Klix Starburst Tropical,"Starburst Tropical
fruit drink
fruit juice
KLIX
KLIX Outlook",N,0.00,73.39,0.00,0,0.00,73,%,0.00,Y,N,99999,N,0,D-00/00/0000,0.00,,Y,N,,N,N,N,N,N,,Normal,,,,,,,,,,,,,,,N,N,,N,,N,320733,N,N,
P-536623,KLIXKEY Keys,D-21/08/2014 15:54:36,,,,KLIXKEY Keys,"KLIXKEY Keys
KLIX
KLIX Outlook
Key
Red Keys",N,0.00,118.45,0.00,0,0.00,118,%,0.00,Y,N,99999,N,0,D-00/00/0000,0.00,,Y,N,,N,N,N,N,N,,Normal,,,,,,,,,,,,,,,N,N,,N,,N,320802,N,N,
P-488406,Kraft Double Wall Ripple Coffee Cup,D-18/05/2009 12:39:16,5060181190459,,,Kraft Double Wall Ripple Coffee Cup,"ripple cups
ripple coffee cups
ripple take out cups
ripple disposable cups
Kraft Double Wall Ripple Coffee Cup
Kraft Ripple Coffee Cup",N,0.00,29.99,0.00,0,0.00,30,%,5.00,Y,Y,0,N,0,D-00/00/0000,0.00,,Y,N,,N,Y,N,N,N,Buy Now...,Normal,,,,,,,,,,,,,,Call For Pricing - 0800 865 4444,Y,Y,SALE - SPECIAL WEB PROMOTION,N,,N,257324,Y,Y,
